value,node_id,position
825,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3711,327
829,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7428,328
830,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6063,329
833,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:849,330
834,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:527,331
836,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1791,332
836,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7856,333
842,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7634,334
846,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1680,335
847,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1658,336
853,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8252,337
857,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4544,338
860,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1303,339
862,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4312,340
863,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3296,341
872,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4772,342
873,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:778,343
875,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:536,344
876,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8277,345
879,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6991,346
881,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2020,347
881,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5664,348
882,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5219,349
882,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8874,350
883,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6210,351
883,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8243,352
885,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:284,353
885,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8892,354
886,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3280,355
891,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:932,356
894,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5474,357
895,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1624,358
895,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7977,359
899,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6029,360
900,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:201,361
902,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6972,362
903,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5572,363
905,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:565,364
907,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1504,365
909,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7417,366
910,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:288,367
912,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:4695,368
915,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:823,369
920,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:325,370
921,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3320,371
921,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7962,372
922,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1571,373
924,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1589,374
931,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:195,375
932,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3127,376
935,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:9011,377
938,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2785,378
938,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:3152,379
940,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:7295,380
940,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8956,381
950,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:1232,382
950,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:5167,383
950,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6188,384
952,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:2009,385
956,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:6474,386
957,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8089,387
958,4:6636a433-9f85-4f47-b4a7-e2cd79149f79:8160,388
